steps,elo,win_rate,wins,losses,draws,path
320000,1662.5,0.472,236,244,20,checkpoints/large_2/rl_bot_320000_steps.zip
640000,1666.2,0.468,234,238,28,checkpoints/large_2/rl_bot_640000_steps.zip
960000,1636.6,0.492,246,226,28,checkpoints/large_2/rl_bot_960000_steps.zip
1280000,1681.0,0.508,254,228,18,checkpoints/large_2/rl_bot_1280000_steps.zip
1600000,1741.1,0.480,240,231,29,checkpoints/large_2/rl_bot_1600000_steps.zip
1920000,1733.4,0.564,282,198,20,checkpoints/large_2/rl_bot_1920000_steps.zip
2240000,1780.9,0.570,285,204,11,checkpoints/large_2/rl_bot_2240000_steps.zip
2560000,1717.0,0.558,279,208,13,checkpoints/large_2/rl_bot_2560000_steps.zip
2880000,1734.8,0.532,266,217,17,checkpoints/large_2/rl_bot_2880000_steps.zip
3200000,1824.7,0.598,299,180,21,checkpoints/large_2/rl_bot_3200000_steps.zip
3520000,1746.3,0.556,278,197,25,checkpoints/large_2/rl_bot_3520000_steps.zip
3840000,1731.5,0.544,272,207,21,checkpoints/large_2/rl_bot_3840000_steps.zip
4160000,1741.6,0.552,276,207,17,checkpoints/large_2/rl_bot_4160000_steps.zip
4480000,1702.3,0.524,262,218,20,checkpoints/large_2/rl_bot_4480000_steps.zip
4800000,1736.0,0.532,266,212,22,checkpoints/large_2/rl_bot_4800000_steps.zip
